,id
30604,1556380
30605,1425308
30606,1425310
30607,114586
30608,1425313
30609,1425315
30610,1556389
30611,901030
30612,1556393
30613,1425322
30614,901035
30615,245677
30616,1425330
30617,1556403
30618,1425340
30619,507836
30620,1556414
30621,1425343
30622,1425345
30623,1425346
30624,507843
30625,1425348
30626,1425350
30627,1556423
30628,1556426
30629,1425356
30630,1425365
30631,1556449
30632,1425377
30633,1556451
30634,114660
30635,1556452
30636,1556461
30637,1556467
30638,1425398
30639,1425399
30640,1425405
30641,1294336
30642,1556481
30643,1294339
30644,1294343
30645,1556487
30646,1556489
30647,1294347
30648,1556492
30649,1556493
30650,1294350
30651,114707
30652,1556500
30653,901142
30654,1294360
30655,1294362
30656,114722
30657,1556522
30658,1425451
30659,1425453
30660,1425456
30661,901169
30662,1425461
30663,114742
30664,376885
30665,1556534
30666,1425466
30667,1556539
30668,245822
30669,1294400
30670,1425473
30671,1556555
30672,1425484
30673,1556561
30674,1425494
30675,1556566
30676,1425496
30677,1425499
30678,507998
30679,1556581
30680,1425510
30681,1032303
30682,1425521
30683,1425524
30684,508021
30685,1425529
30686,1556605
30687,901250
30688,1425539
30689,1425538
30690,1556614
30691,1425545
30692,1556620
30693,1556627
30694,1425565
30695,1163424
30696,1556644
30697,1425574
30698,1163432
30699,1163435
30700,1556657
30701,1294514
30702,1425588
30703,1425589
30704,1556662
30705,1425591
30706,1425592
30707,1032379
30708,1425596
30709,1425598
30710,1163455
30711,114893
30712,1556694
30713,1425624
30714,377051
30715,1556704
30716,1556706
30717,1556708
30718,1425637
30719,1556715
30720,1556727
30721,1032440
30722,1032446
30723,1556737
30724,1556742
30725,1556745
30726,1556748
30727,1425676
30728,901393
30729,1425685
30730,1556757
30731,1425690
30732,1425694
30733,1556774
30734,1556776
30735,1163565
30736,1425712
30737,1425713
30738,377140
30739,1556789
30740,1425721
30741,1556794
30742,115010
30743,1556811
30744,1556816
30745,1425745
30746,1425756
30747,115041
30748,1425763
30749,1556840
30750,1425769
30751,1556844
30752,1556849
30753,1556854
30754,1425785
30755,1425787
30756,1425788
30757,1556862
30758,1556863
30759,1294721
30760,1556866
30761,1556867
30762,1556872
30763,1425812
30764,1556889
30765,1425818
30766,377244
30767,1425820
30768,1556894
30769,377245
30770,1425826
30771,1556900
30772,1425841
30773,1425842
30774,1425845
30775,1556922
30776,246204
30777,1556925
30778,1294786
30779,1556935
30780,1425863
30781,1163725
30782,1425874
30783,1425875
30784,1032660
30785,1556952
30786,1556953
30787,1425887
30788,115169
30789,1294820
30790,1294824
30791,1556969
30792,1163764
30793,1556982
30794,1556986
30795,1163772
30796,1556989
30797,1163773
30798,1556990
30799,770560
30800,246272
30801,1556994
30802,1556997
30803,1425929
30804,1557002
30805,1294863
30806,1294866
30807,1425941
30808,1425949
30809,1557033
30810,1425963
30811,1425964
30812,639533
