,Train Project,Test Project,Prediction Score
195,Bugzilla,Testing,0.61
196,Bugzilla,Firefox Build System,0.48
197,Bugzilla,Socorro,0.33
198,Bugzilla,DevTools,0.55
199,Bugzilla,developer.mozilla.org,0.43
200,Bugzilla,Participation Infrastructure,0.11
201,Bugzilla,www.mozilla.org,1.00
202,Bugzilla,Infrastructure & Operations,0.52
203,Bugzilla,Developer Engagement,0.17
204,Bugzilla,Enterprise Information Security,0.27
205,Bugzilla,Instantbird,0.17
206,Bugzilla,Chat Core,0.66
207,Bugzilla,Mozilla Foundation Communications,0.60
208,Bugzilla,Firefox for Android,0.61
209,Bugzilla,Tree Management,0.43
210,Bugzilla,Community Building,0.25
211,Bugzilla,support.mozilla.org,0.12
212,Bugzilla,bugzilla.mozilla.org,0.45
213,Bugzilla,Developer Documentation,0.69
214,Bugzilla,WebExtensions,0.50
215,Bugzilla,Localization Infrastructure and Tools,0.49
216,Bugzilla,Cloud Services,0.49
217,Bugzilla,Firefox for iOS,0.33
218,Bugzilla,Taskcluster,0.57
219,Bugzilla,GeckoView,0.66
220,Bugzilla,Release Engineering,0.36
221,Bugzilla,Data Platform and Tools,0.80
222,Bugzilla,Developer Services,0.81
223,Bugzilla,Focus-iOS,0.50
224,Bugzilla,Webtools,0.50
225,Bugzilla,External Software Affecting Firefox,0.17
226,Bugzilla,Conduit,0.22
227,Bugzilla,Data Science,0.28
228,Bugzilla,Shield,0.75
229,Bugzilla,Remote Protocol,0.91
230,Bugzilla,Testing Graveyard,0.00
231,Bugzilla,Camino Graveyard,0.00
232,Bugzilla,Core Graveyard,0.33
233,Bugzilla,Cloud Services Graveyard,0.75
234,Bugzilla,Firefox Graveyard,0.57
235,Bugzilla,Add-on SDK Graveyard,1.00
236,Bugzilla,Firefox for Android Graveyard,0.00
237,Bugzilla,Toolkit Graveyard,0.00
238,Bugzilla,Penelope Graveyard,0.00
239,Bugzilla,Web Compatibility,0.00
240,Bugzilla,Infrastructure & Operations Graveyard,0.00
241,Bugzilla,DevTools Graveyard,0.64
242,Bugzilla,Testopia,0.96
243,Bugzilla,Directory,0.84
244,Firefox,Core,0.80
245,Firefox,MailNews Core,0.66
246,Firefox,SeaMonkey,0.73
247,Firefox,Bugzilla,0.50
248,Firefox,Other Applications,0.65
249,Firefox,NSS,0.47
250,Firefox,Calendar,0.61
251,Firefox,Thunderbird,0.67
252,Firefox,Marketing,0.85
253,Firefox,Toolkit,0.87
254,Firefox,NSPR,0.64
255,Firefox,mozilla.org,0.90
256,Firefox,Testing,0.87
257,Firefox,Firefox Build System,0.90
258,Firefox,Socorro,0.76
259,Firefox,DevTools,0.84
260,Firefox,developer.mozilla.org,0.88
261,Firefox,Participation Infrastructure,0.90
262,Firefox,www.mozilla.org,1.00
263,Firefox,Infrastructure & Operations,0.80
264,Firefox,Developer Engagement,0.83
265,Firefox,Enterprise Information Security,0.09
266,Firefox,Instantbird,0.33
267,Firefox,Chat Core,0.76
