,Train Project,Test Project,Prediction Score
312,Other Applications,Thunderbird,0.72
313,Other Applications,Marketing,0.60
314,Other Applications,Toolkit,0.40
315,Other Applications,NSPR,0.74
316,Other Applications,mozilla.org,0.32
317,Other Applications,Testing,0.31
318,Other Applications,Firefox Build System,0.33
319,Other Applications,Socorro,0.12
320,Other Applications,DevTools,0.28
321,Other Applications,developer.mozilla.org,0.44
322,Other Applications,Participation Infrastructure,0.82
323,Other Applications,www.mozilla.org,0.00
324,Other Applications,Infrastructure & Operations,0.19
325,Other Applications,Developer Engagement,0.50
326,Other Applications,Enterprise Information Security,0.00
327,Other Applications,Instantbird,0.17
328,Other Applications,Chat Core,0.10
329,Other Applications,Mozilla Foundation Communications,0.06
330,Other Applications,Firefox for Android,0.24
331,Other Applications,Tree Management,0.38
332,Other Applications,Community Building,0.00
333,Other Applications,support.mozilla.org,0.35
334,Other Applications,bugzilla.mozilla.org,0.21
335,Other Applications,Developer Documentation,0.21
336,Other Applications,WebExtensions,0.31
337,Other Applications,Localization Infrastructure and Tools,0.22
338,Other Applications,Cloud Services,0.15
339,Other Applications,Firefox for iOS,0.14
340,Other Applications,Taskcluster,0.35
341,Other Applications,GeckoView,0.51
342,Other Applications,Release Engineering,0.33
343,Other Applications,Data Platform and Tools,0.11
344,Other Applications,Developer Services,0.25
345,Other Applications,Focus-iOS,0.00
346,Other Applications,Webtools,0.32
347,Other Applications,External Software Affecting Firefox,0.17
348,Other Applications,Conduit,0.29
349,Other Applications,Data Science,0.23
350,Other Applications,Shield,0.17
351,Other Applications,Remote Protocol,0.37
352,Other Applications,Testing Graveyard,0.00
353,Other Applications,Camino Graveyard,0.33
354,Other Applications,Core Graveyard,0.28
355,Other Applications,Cloud Services Graveyard,0.25
356,Other Applications,Firefox Graveyard,0.29
357,Other Applications,Add-on SDK Graveyard,1.00
358,Other Applications,Firefox for Android Graveyard,0.00
359,Other Applications,Toolkit Graveyard,0.00
360,Other Applications,Penelope Graveyard,0.25
361,Other Applications,Web Compatibility,0.00
362,Other Applications,Infrastructure & Operations Graveyard,0.33
363,Other Applications,DevTools Graveyard,0.09
364,Other Applications,Testopia,0.62
365,Other Applications,Directory,0.68
366,NSS,Core,0.71
367,NSS,MailNews Core,0.66
368,NSS,SeaMonkey,0.62
369,NSS,Bugzilla,0.59
370,NSS,Firefox,0.66
371,NSS,Other Applications,0.52
372,NSS,Calendar,0.58
373,NSS,Thunderbird,0.62
374,NSS,Marketing,0.22
375,NSS,Toolkit,0.70
376,NSS,NSPR,0.60
377,NSS,mozilla.org,0.72
378,NSS,Testing,0.75
379,NSS,Firefox Build System,0.76
380,NSS,Socorro,0.45
381,NSS,DevTools,0.64
382,NSS,developer.mozilla.org,0.70
383,NSS,Participation Infrastructure,0.26
384,NSS,www.mozilla.org,1.00
385,NSS,Infrastructure & Operations,0.47
386,NSS,Developer Engagement,0.83
387,NSS,Enterprise Information Security,0.45
388,NSS,Instantbird,0.50
389,NSS,Chat Core,0.67
390,NSS,Mozilla Foundation Communications,0.88
391,NSS,Firefox for Android,0.84
392,NSS,Tree Management,0.75
393,NSS,Community Building,0.00
394,NSS,support.mozilla.org,0.59
395,NSS,bugzilla.mozilla.org,0.64
396,NSS,Developer Documentation,0.87
397,NSS,WebExtensions,0.59
398,NSS,Localization Infrastructure and Tools,0.49
399,NSS,Cloud Services,0.38
400,NSS,Firefox for iOS,0.74
401,NSS,Taskcluster,0.49
402,NSS,GeckoView,0.66
403,NSS,Release Engineering,0.59
404,NSS,Data Platform and Tools,0.73
405,NSS,Developer Services,0.83
406,NSS,Focus-iOS,0.33
407,NSS,Webtools,0.21
408,NSS,External Software Affecting Firefox,1.00
409,NSS,Conduit,0.26
410,NSS,Data Science,0.81
411,NSS,Shield,0.67
412,NSS,Remote Protocol,0.90
413,NSS,Testing Graveyard,0.00
414,NSS,Camino Graveyard,0.33
415,NSS,Core Graveyard,0.61
416,NSS,Cloud Services Graveyard,1.00
417,NSS,Firefox Graveyard,0.86
418,NSS,Add-on SDK Graveyard,0.00
419,NSS,Firefox for Android Graveyard,1.00
420,NSS,Toolkit Graveyard,0.25
421,NSS,Penelope Graveyard,0.00
422,NSS,Web Compatibility,1.00
423,NSS,Infrastructure & Operations Graveyard,1.00
424,NSS,DevTools Graveyard,0.36
425,NSS,Testopia,0.42
426,NSS,Directory,0.64
427,Calendar,Core,0.59
428,Calendar,MailNews Core,0.59
429,Calendar,SeaMonkey,0.58
430,Calendar,Bugzilla,0.57
431,Calendar,Firefox,0.55
432,Calendar,Other Applications,0.53
433,Calendar,NSS,0.60
434,Calendar,Thunderbird,0.58
435,Calendar,Marketing,0.50
436,Calendar,Toolkit,0.47
437,Calendar,NSPR,0.43
438,Calendar,mozilla.org,0.19
439,Calendar,Testing,0.64
440,Calendar,Firefox Build System,0.44
441,Calendar,Socorro,0.25
442,Calendar,DevTools,0.46
443,Calendar,developer.mozilla.org,0.40
444,Calendar,Participation Infrastructure,0.10
445,Calendar,www.mozilla.org,0.69
446,Calendar,Infrastructure & Operations,0.36
447,Calendar,Developer Engagement,0.50
448,Calendar,Enterprise Information Security,0.00
449,Calendar,Instantbird,0.25
450,Calendar,Chat Core,0.49
451,Calendar,Mozilla Foundation Communications,0.32
452,Calendar,Firefox for Android,0.49
453,Calendar,Tree Management,0.45
454,Calendar,Community Building,0.00
455,Calendar,support.mozilla.org,0.24
456,Calendar,bugzilla.mozilla.org,0.51
457,Calendar,Developer Documentation,0.00
458,Calendar,WebExtensions,0.52
459,Calendar,Localization Infrastructure and Tools,0.51
460,Calendar,Cloud Services,0.46
461,Calendar,Firefox for iOS,0.70
462,Calendar,Taskcluster,0.57
463,Calendar,GeckoView,0.35
464,Calendar,Release Engineering,0.54
465,Calendar,Data Platform and Tools,0.45
466,Calendar,Developer Services,0.51
467,Calendar,Focus-iOS,1.00
468,Calendar,Webtools,0.41
469,Calendar,External Software Affecting Firefox,0.33
470,Calendar,Conduit,0.74
471,Calendar,Data Science,0.74
472,Calendar,Shield,0.67
473,Calendar,Remote Protocol,0.83
474,Calendar,Testing Graveyard,1.00
475,Calendar,Camino Graveyard,0.33
476,Calendar,Core Graveyard,0.44
477,Calendar,Cloud Services Graveyard,1.00
478,Calendar,Firefox Graveyard,0.00
479,Calendar,Add-on SDK Graveyard,0.00
480,Calendar,Firefox for Android Graveyard,1.00
481,Calendar,Toolkit Graveyard,0.00
482,Calendar,Penelope Graveyard,0.00
483,Calendar,Web Compatibility,0.00
484,Calendar,Infrastructure & Operations Graveyard,0.00
485,Calendar,DevTools Graveyard,0.09
486,Calendar,Testopia,0.75
487,Calendar,Directory,0.40
488,Thunderbird,Core,0.72
489,Thunderbird,MailNews Core,0.85
490,Thunderbird,SeaMonkey,0.85
491,Thunderbird,Bugzilla,0.72
492,Thunderbird,Firefox,0.72
493,Thunderbird,Other Applications,0.68
494,Thunderbird,NSS,0.73
495,Thunderbird,Calendar,0.80
496,Thunderbird,Marketing,0.75
497,Thunderbird,Toolkit,0.75
498,Thunderbird,NSPR,0.69
499,Thunderbird,mozilla.org,0.30
500,Thunderbird,Testing,0.70
501,Thunderbird,Firefox Build System,0.68
502,Thunderbird,Socorro,0.71
503,Thunderbird,DevTools,0.61
504,Thunderbird,developer.mozilla.org,0.61
505,Thunderbird,Participation Infrastructure,0.76
506,Thunderbird,www.mozilla.org,0.23
507,Thunderbird,Infrastructure & Operations,0.61
508,Thunderbird,Developer Engagement,0.17
509,Thunderbird,Enterprise Information Security,0.00
510,Thunderbird,Instantbird,0.08
511,Thunderbird,Chat Core,0.67
512,Thunderbird,Mozilla Foundation Communications,0.56
513,Thunderbird,Firefox for Android,0.74
514,Thunderbird,Tree Management,0.61
515,Thunderbird,Community Building,0.00
516,Thunderbird,support.mozilla.org,0.47
517,Thunderbird,bugzilla.mozilla.org,0.57
518,Thunderbird,Developer Documentation,0.54
519,Thunderbird,WebExtensions,0.71
520,Thunderbird,Localization Infrastructure and Tools,0.47
521,Thunderbird,Cloud Services,0.31
522,Thunderbird,Firefox for iOS,0.60
523,Thunderbird,Taskcluster,0.70
524,Thunderbird,GeckoView,0.71
525,Thunderbird,Release Engineering,0.54
526,Thunderbird,Data Platform and Tools,0.59
527,Thunderbird,Developer Services,0.73
528,Thunderbird,Focus-iOS,0.67
529,Thunderbird,Webtools,0.76
530,Thunderbird,External Software Affecting Firefox,0.33
531,Thunderbird,Conduit,0.37
532,Thunderbird,Data Science,0.79
533,Thunderbird,Shield,0.83
534,Thunderbird,Remote Protocol,0.90
535,Thunderbird,Testing Graveyard,0.00
536,Thunderbird,Camino Graveyard,0.67
537,Thunderbird,Core Graveyard,0.33
538,Thunderbird,Cloud Services Graveyard,1.00
539,Thunderbird,Firefox Graveyard,0.86
540,Thunderbird,Add-on SDK Graveyard,1.00
541,Thunderbird,Firefox for Android Graveyard,0.00
542,Thunderbird,Toolkit Graveyard,0.00
543,Thunderbird,Penelope Graveyard,0.00
544,Thunderbird,Web Compatibility,0.00
545,Thunderbird,Infrastructure & Operations Graveyard,0.00
546,Thunderbird,DevTools Graveyard,1.00
547,Thunderbird,Testopia,0.79
548,Thunderbird,Directory,0.52
549,Core,MailNews Core,0.77
550,Core,SeaMonkey,0.84
551,Core,Bugzilla,0.67
552,Core,Firefox,0.84
553,Core,Other Applications,0.79
554,Core,NSS,0.58
555,Core,Calendar,0.76
556,Core,Thunderbird,0.78
557,Core,Marketing,0.79
558,Core,Toolkit,0.84
559,Core,NSPR,0.33
560,Core,mozilla.org,0.96
561,Core,Testing,0.90
562,Core,Firefox Build System,0.89
563,Core,Socorro,0.71
564,Core,DevTools,0.80
565,Core,developer.mozilla.org,0.72
566,Core,Participation Infrastructure,0.87
567,Core,www.mozilla.org,1.00
568,Core,Infrastructure & Operations,0.86
569,Core,Developer Engagement,0.83
570,Core,Enterprise Information Security,0.73
571,Core,Instantbird,0.58
572,Core,Chat Core,0.85
573,Core,Mozilla Foundation Communications,0.79
574,Core,Firefox for Android,0.80
575,Core,Tree Management,0.89
576,Core,Community Building,1.00
577,Core,support.mozilla.org,0.41
578,Core,bugzilla.mozilla.org,0.65
579,Core,Developer Documentation,0.89
580,Core,WebExtensions,0.72
581,Core,Localization Infrastructure and Tools,0.88
582,Core,Cloud Services,0.74
583,Core,Firefox for iOS,0.77
584,Core,Taskcluster,0.88
585,Core,GeckoView,0.91
586,Core,Release Engineering,0.87
587,Core,Data Platform and Tools,0.96
588,Core,Developer Services,0.91
589,Core,Focus-iOS,0.83
590,Core,Webtools,0.97
591,Core,External Software Affecting Firefox,1.00
592,Core,Conduit,0.42
593,Core,Data Science,1.00
594,Core,Shield,1.00
595,Core,Remote Protocol,0.94
596,Core,Testing Graveyard,0.00
597,Core,Camino Graveyard,0.00
598,Core,Core Graveyard,0.44
599,Core,Cloud Services Graveyard,1.00
600,Core,Firefox Graveyard,0.86
601,Core,Add-on SDK Graveyard,1.00
602,Core,Firefox for Android Graveyard,0.00
603,Core,Toolkit Graveyard,0.25
604,Core,Penelope Graveyard,0.00
605,Core,Web Compatibility,0.00
606,Core,Infrastructure & Operations Graveyard,1.00
607,Core,DevTools Graveyard,0.91
608,Core,Testopia,0.79
609,Core,Directory,0.72
610,MailNews Core,Core,0.67
611,MailNews Core,SeaMonkey,0.70
612,MailNews Core,Bugzilla,0.44
613,MailNews Core,Firefox,0.68
614,MailNews Core,Other Applications,0.50
615,MailNews Core,NSS,0.80
616,MailNews Core,Calendar,0.66
617,MailNews Core,Thunderbird,0.65
618,MailNews Core,Marketing,0.66
619,MailNews Core,Toolkit,0.64
620,MailNews Core,NSPR,0.59
621,MailNews Core,mozilla.org,0.33
622,MailNews Core,Testing,0.69
623,MailNews Core,Firefox Build System,0.59
624,MailNews Core,Socorro,0.52
625,MailNews Core,DevTools,0.57
626,MailNews Core,developer.mozilla.org,0.68
627,MailNews Core,Participation Infrastructure,0.16
628,MailNews Core,www.mozilla.org,1.00
629,MailNews Core,Infrastructure & Operations,0.38
630,MailNews Core,Developer Engagement,0.33
631,MailNews Core,Enterprise Information Security,0.36
632,MailNews Core,Instantbird,0.08
633,MailNews Core,Chat Core,0.37
634,MailNews Core,Mozilla Foundation Communications,0.37
635,MailNews Core,Firefox for Android,0.65
636,MailNews Core,Tree Management,0.70
637,MailNews Core,Community Building,0.00
638,MailNews Core,support.mozilla.org,0.35
639,MailNews Core,bugzilla.mozilla.org,0.72
640,MailNews Core,Developer Documentation,0.84
641,MailNews Core,WebExtensions,0.71
642,MailNews Core,Localization Infrastructure and Tools,0.51
643,MailNews Core,Cloud Services,0.31
644,MailNews Core,Firefox for iOS,0.56
645,MailNews Core,Taskcluster,0.64
646,MailNews Core,GeckoView,0.80
647,MailNews Core,Release Engineering,0.42
648,MailNews Core,Data Platform and Tools,0.83
649,MailNews Core,Developer Services,0.58
650,MailNews Core,Focus-iOS,0.00
651,MailNews Core,Webtools,0.76
652,MailNews Core,External Software Affecting Firefox,0.83
653,MailNews Core,Conduit,0.61
654,MailNews Core,Data Science,0.77
655,MailNews Core,Shield,0.83
656,MailNews Core,Remote Protocol,0.91
657,MailNews Core,Testing Graveyard,0.00
658,MailNews Core,Camino Graveyard,0.67
659,MailNews Core,Core Graveyard,0.61
660,MailNews Core,Cloud Services Graveyard,0.75
661,MailNews Core,Firefox Graveyard,0.86
662,MailNews Core,Add-on SDK Graveyard,1.00
663,MailNews Core,Firefox for Android Graveyard,0.00
664,MailNews Core,Toolkit Graveyard,0.25
665,MailNews Core,Penelope Graveyard,0.75
666,MailNews Core,Web Compatibility,1.00
667,MailNews Core,Infrastructure & Operations Graveyard,0.67
668,MailNews Core,DevTools Graveyard,0.82
669,MailNews Core,Testopia,0.62
670,MailNews Core,Directory,0.52
671,SeaMonkey,Core,0.73
672,SeaMonkey,MailNews Core,0.82
673,SeaMonkey,Bugzilla,0.69
674,SeaMonkey,Firefox,0.72
675,SeaMonkey,Other Applications,0.64
676,SeaMonkey,NSS,0.70
677,SeaMonkey,Calendar,0.76
678,SeaMonkey,Thunderbird,0.86
679,SeaMonkey,Marketing,0.79
680,SeaMonkey,Toolkit,0.65
681,SeaMonkey,NSPR,0.61
682,SeaMonkey,mozilla.org,0.87
683,SeaMonkey,Testing,0.74
684,SeaMonkey,Firefox Build System,0.66
685,SeaMonkey,Socorro,0.54
686,SeaMonkey,DevTools,0.57
687,SeaMonkey,developer.mozilla.org,0.61
688,SeaMonkey,Participation Infrastructure,0.73
689,SeaMonkey,www.mozilla.org,0.77
690,SeaMonkey,Infrastructure & Operations,0.48
691,SeaMonkey,Developer Engagement,1.00
692,SeaMonkey,Enterprise Information Security,0.64
693,SeaMonkey,Instantbird,0.17
694,SeaMonkey,Chat Core,0.65
695,SeaMonkey,Mozilla Foundation Communications,0.57
696,SeaMonkey,Firefox for Android,0.66
697,SeaMonkey,Tree Management,0.64
698,SeaMonkey,Community Building,0.00
699,SeaMonkey,support.mozilla.org,0.24
700,SeaMonkey,bugzilla.mozilla.org,0.48
701,SeaMonkey,Developer Documentation,0.09
702,SeaMonkey,WebExtensions,0.68
703,SeaMonkey,Localization Infrastructure and Tools,0.78
704,SeaMonkey,Cloud Services,0.62
705,SeaMonkey,Firefox for iOS,0.66
706,SeaMonkey,Taskcluster,0.75
707,SeaMonkey,GeckoView,0.64
708,SeaMonkey,Release Engineering,0.80
